,title,description,release_date,genres,actors,duration,country,productions
277,Shane Gillis: Beautiful Dogs,"Filmed in Virginia during his live tour, this is Shane Gillis' debut Netflix stand-up comedy hour and a follow-up to his YouTube special, ""Shane Gillis: Live in Austin.""",2023-09-05,"['Comedy', 'Documentary']",['Shane Gillis'],52,United States of America,"['All Things Comedy', 'AGI Entertainment']"
278,Woooooo! Becoming Ric Flair,"16-time World Champion and 2-time WWE Hall of Famer Ric Flair is one of the most prolific and controversial superstars in professional wrestling history. Flair is a true American icon: from his famous “Woooo” that is still heard in stadiums and arenas throughout the US, to his influence on hip hop music. At 73 years-old Flair remains a constant in American pop culture, but who is the real man behind the outrageous persona? Finally, Flair reveals all, opening up about his storied career, inside and outside of the ring, over the last 50 years.",2022-12-26,['Documentary'],"['Tom Rinaldi', 'Ric Flair', 'Hulk Hogan', 'Mike Tyson', 'Post Malone']",111,United States of America,"['World Wrestling Entertainment (WWE)', 'World Wrestling Entertainment (WWE)']"
279,Vandits,"A teenage posse, known as the Vandits, attempts to pull off a ridiculous heist.",2022-05-18,"['Comedy', 'Action', 'Science Fiction', 'Thriller', 'Mystery']","['Tony Nappo', 'Francesco Antonio', 'Jesse Camacho', 'Victoria Turko', 'Robb Wells']",89,Canada,"['Breakthrough Entertainment', 'Farpoint Films', '5’7 Films']"
280,The Rain Bride,"Young mother Lori must say goodbye to her husband, who decides to join the war against ISIS. She finds herself in a fight in midst her own society. Thus, Lori searches to express her feelings in dance.",2022-12-01,['Drama'],"['Hussein Hassan Ali', 'Şilan Düzdaban', 'Bangen ali', 'Saman Mustefa', 'Ferset Izzet']",97,"Germany, ",['mîtosfilm']
281,The Peculiar Sensation of Being Pat Ingoldsby,"Seamus Murphy’s documentary examines Irish writer Pat Ingoldsby’s unique world. Ingoldsby’s poems and candid anecdotes bear witness to a visceral relationship with his beloved Dublin, fellow Dubliners and anything that catches his interest. Personal challenges, a sensitive humanity and a lifetime as a maverick have taught him to harness reality and reach well beyond it to avenge the banal with absurd magic. It heals him as it does us.",2022-11-04,['Documentary'],"['Pat Ingoldsby', 'Imelda May', 'Brush Shiels', 'Don Baker', 'Michael Ingoldsby']",97,Ireland,['Broadstone Films']
282,Secrets in the Water,Inspired by a true story. A grieving mother enlists the help of her deceased daughter’s friend to track down her killer and wonders if the killer is someone close to home.,2021-02-15,"['Thriller', 'TV Movie']","['Cerina Vincent', 'Emily Skinner', 'Brian Krause', 'Alexis Jayde Burnett', 'Keikilani Grune']",86,United States of America,"['Feifer Worldwide', 'Marvista Entertainment']"
283,Perpetrator,"Jonny Baptiste is a reckless teen sent to live with her estranged Aunt Hildie. On the event of her eighteenth birthday, she experiences a radical metamorphosis: a family spell that redefines her called Forevering. When several teen girls go missing at her new school, a mythically feral Jonny goes after the Perpetrator.",2023-09-14,['Horror'],"['Kiah McKirnan', 'Alicia Silverstone', '\u200bChristopher Lowell', 'Melanie Liburd', 'Ireon Roach']",100,"France, ","['WTFilms', '30WEST', 'Divide / Conquer', 'Shudder']"
284,Old Flame,A college reunion spirals into violence when two former lovers reconnect and rediscover a dangerous secret.,2022-10-19,"['Thriller', 'Drama']","['Andy Gershenzon', 'Rebecca Robles', 'Andy Gershenzon']",90,United States of America,[]
285,"Joe Lycett: More, More, More! How Do You Lycett? How Do You Lycett?","Join Joe Lycett (the artist formerly known as Hugo Boss) doing what he does best: talking at a room of people in a queer and comedic fashion. His first tour in years promises to be packed with MORE jokes, MORE comedy anecdotes and MORE inappropriate and arguably disturbing paintings, all in the hope of answering the age-old question: How do you Lycett? How do you Lycett?",2022-11-11,['Comedy'],['Joe Lycett'],75,United Kingdom,"['Chambers Productions', 'Chambers Productions']"
286,In the Name of Gerry Conlon,"Two months before his death, the central figure of ""The Guildford Four"" Gerry Conlon meets Lorenzo Moscia to recount his remarkable life, from falsely imprisoned to world-famous human rights activist.",2023-04-11,['Documentary'],['Gerry Conlon'],57,United States of America,[]
